english,tamil_reference,indictrans2_translation,sentence_bleu
Your emails,vasee@ ieee. org,உங்கள் மின்னஞ்சல்கள்,0.0
Good night.,குட் நைட்.,இனிய மாலை வணக்கம்.,15.9736
"Faith, go!","நம்பிக்கை, போ!","விசுவாசமே, போ!",18.9959
The color of the rectangle,நீள்சதுரத்தின் வண்ணம்,செவ்வகத்தின் நிறம்,0.0
Castilian Spanish Male,குரல் கோப்பு - Hadifix சொருகுப்பொருள்,காஸ்டிலியன் ஸ்பானிஷ் ஆண்,0.0
Yeah.,ஆமாம்.,ஆம்.,50.0
Universal,பொதுவான@ item Text character set,உலகளாவிய,0.0
GEAC:,"ஏன் மீண்டும் அறைகள் எடுத்து கொள்ள கூடாது, நான் அவரை சமாளிக்க முடியும். GEAC:",GEAC:,0.2479
Your names,பிரபு EMAIL OF TRANSLATORS,உங்கள் பெயர்கள்.,0.0
_Statusbar,_S நிலைப்பட்டை,நிலைப்பட்டை (_ S),23.6435
Undefined,அடைப்புக்குறியிடப்பட்ட,வரையறுக்கப்படாதது.,0.0
Mongolian,மொங்கோலியன்Name,மங்கோலியன்,0.0
Line wrap,வரி மடிப்பு,லைன் ரேப்,0.0
Title,தலைப்பு,தலைப்பு,100.0
Start,ம்றுபடியும் துவங்கு@ action: button,தொடங்குங்கள்,0.0
Zulia,venezuela. kgm,ஜூலியா,0.0
Name,இந்த தனிமம்% 1 ஆண்டில் கண்டுபிடிக்கப்பட்டுள்ளது,பெயர்.,0.0
Like the example of those who were before them not long ago – they tasted the evil result of their deeds; and for them is a painful punishment.,"இவர்களுக்கு முன்னர் (காலத்தால்) நெருங்கி இருந்த சிலரைப் போன்றே (இவர்களும் இருக்கின்றனர்) அவர்கள் தம் தீய செயல்களுக்குரிய பலனை அனுபவித்தனர், அன்றியும், அவர்களுக்கு (மறுமையில்) நோவினை செய்யும் வேதனையுமுண்டு.","வெகு காலத்திற்கு முன்பு அவர்களுக்கு முன்பு இருந்தவர்களின் உதாரணத்தைப் போலவே-அவர்கள் தங்கள் செயல்களின் தீய விளைவை ருசித்தனர், மேலும் அவர்களுக்கு வேதனையான தண்டனை உள்ளது.",1.6423
Right,வலது:,சரி.,0.0
I'm gonna be the best I can be.,நான் இருக்க முடியும் சிறந்த இருக்க போகிறேன்.,நான் என்னால் முடிந்தவரை சிறந்தவனாக இருப்பேன்.,8.1706
Your emails,"t_ vasee@ yahoo. com, prabu_ anand2000@ yahoo. com",உங்கள் மின்னஞ்சல்கள்,0.0
"There are (varying) grades with Allah, and Allah sees what they do.",அல்லாஹ்விடத்தில் அவர்களுக்குப் பல நிலைகள் உள்ளன - இன்னும் அல்லாஹ் அவர்கள் செய்பவை அனைத்தையும் பார்ப்பவனாகவே இருக்கின்றான்.,"அல்லாஹ்விடம் (வேறுபட்ட) தரங்கள் உள்ளன, அவர்கள் செய்வதை அல்லாஹ் பார்க்கிறான்.",4.054
I know.,எனக்கு தெரியும்.,எனக்குத் தெரியும்.,55.0321
Orientation,நிலை அமைப்பு,திசைதிருப்பல்,0.0
Drop an image or HTML file,தோற்றம் அல்லது HTML கோப்பினை விடு,ஒரு படம் அல்லது எச். டி. எம். எல் கோப்பை விடுங்கள்,3.3865
But the plot didn't end there.,ஆனால் சதி விட்டு விடவில்லை.,ஆனால் கதை இத்துடன் முடிந்துவிடவில்லை.,12.7033
"We sent Noah to his people, “I am to you a clear warner.”","நிச்சயமாக நாம் நூஹை அவருடைய சமூகத்தாரிடம் அனுப்பி வைத்தோம்; அவர் (அவர்களை நோக்கி) ""நிச்சயமாக நான் உங்களுக்கு பகிரங்கமாக அச்சமூட்டி எச்சரிக்கை செய்பவன்.""","""நான் உங்களுக்கு தெளிவான எச்சரிக்கை செய்பவன்"" என்று நூஹை அவரது சமூகத்தாரிடம் நாம் அனுப்பினோம்.",5.3105
For all that they used to do.,"அவர்கள் செய்து கொண்டிருந்த (எல்லாச்) செயல்களைப் பற்றியும், (நாம் விசாரிப்போம்).",அவர்கள் முன்பு செய்த அனைத்திற்கும்.,2.0998
Status,நிலை,அந்தஸ்து,0.0
Port Rotation,சுழற்றல் துறை,துறைமுக சுழற்சி,0.0
"The Pharaoh and his people had also received Our warning,",ஃபிர்அவ்னின் கூட்டத்தாருக்கும் அச்சமூட்டும் எச்சரிக்கைகள் வந்தன.,ஃபிர்அவ்னும் அவனுடைய சமூகத்தாரும் நமது எச்சரிக்கையைப் பெற்றிருந்தனர்.,6.5673
Press %1 while ScrollLock is active,உருளல் பூட்டு செயலில் இருக்கும்போது% 1ஐ அழுத்து,ஸ்க்ரோல் லாக் செயலில் இருக்கும் போது% 1 ஐ அழுத்தவும்,5.6698
Whether the current stream is seekable,தற்போதைய ஸ்ட்ரெம் தேடக்கூடியதாக இருந்தால்,தற்போதைய நீரோட்டம் தேடத்தக்கதா,19.7161
BACK COVER,BACK COVER,பின்புற முகப்பு,0.0
Attach,இணைப்பு,இணைக்கவும்,0.0
Our job is not to remember.,எங்கள் வேலை நினைவில் இல்லை.,நினைவில் வைத்துக்கொள்வது நமது வேலை அல்ல.,10.6822
I'm innocent.,நான் அப்பாவி.,நான் குற்றமற்றவன்.,34.6681
Save as custom session,தனிப்பட்ட அமர்வை காக்கNAME OF TRANSLATORS,தனிப்பயன் அமர்வாக சேமிக்கவும்,0.0
"Did you really think you could travel 150 miles, make three visits to a neurological clinic under a false identity, give blood, leave fingerprints and not have us find out about it?","நீங்கள் உண்மையில் யோசித்துப் நீங்கள் 150 மைல்கள் பயணிக்க முடியும், ஒரு நரம்பியல் மூன்று வருகைகள் செய்ய ஒரு தவறான அடையாளத்தின் கீழ் மையம், கைரேகைகள் விட்டு, உன்னோடு எங்களுக்கு அது பற்றி கண்டுபிடிக்க இல்லை?","நீங்கள் 150 மைல்கள் பயணம் செய்யலாம், ஒரு தவறான அடையாளத்தின் கீழ் ஒரு நரம்பியல் கிளினிக்கிற்கு மூன்று முறை வருகை தரலாம், இரத்தம் கொடுக்கலாம், கைரேகைகளை விட்டுச் செல்லலாம், அதைப் பற்றி எங்களுக்குத் தெரியப்படுத்தக்கூடாது என்று நீங்கள் உண்மையிலேயே நினைத்தீர்களா?",13.1813
"Come on, we got to move!","வாருங்கள், நாம் நகர்த்த வேண்டும்!","வாருங்கள், நாம் நகர வேண்டும்!",37.9918
Port,முனையம்,துறைமுகம்,0.0
Lilongwe,கீழ் சக்ஸோனிworld. kgm,லிலாங்வே,0.0
Subsystem...,நிலை,துணை அமைப்பு...,0.0
"Verily it is We Who have revealed the Book to thee in Truth: so serve Allah, offering Him sincere devotion.","(நபியே!) நிச்சயமாக நாம் உமக்கு உண்மையைக் கொண்டு இவ்வேதத்தை இறக்கியருளினோம், ஆகவே, மார்க்கத்திற்கு அந்தரங்க சுத்தியுடையவராக நீர் அல்லாஹ்வை வணங்குவீராக.",நிச்சயமாக நாம்தான் உமக்கு வேதத்தை சத்தியமாக இறக்கியிருக் கிறோம். எனவே அல்லாஹ்வை வணங்குங்கள். அவனையே நீர் பக்தியாகப் போற்றுங்கள்.,2.7028
- No.,- இல்லை.,- இல்லை.,100.0
CD/DVD Creator Folder,குறுவட்டு/டிவிடிஉருவாக்கி அடைவு,சிடி/டிவிடி உருவாக்கியவர் கோப்புறை,10.6822
Let's go.,போகலாம்.,போவோம்.,50.0
Medium,நடுநிலைமை,நடுத்தர,0.0
I think there's been a mix-up.,- எதோ தவறு நடந்திருச்சு போல.,ஒரு கலவை ஏற்பட்டதாக நான் நினைக்கிறேன்.,8.1167
Open a project,ஒரு திட்டத்தை திற,ஒரு திட்டத்தை திறக்கவும்,55.0321
SINGLE-LOG BRIDGE,Constellation name (optional),சிங்கிள்-லாக் பிரிட்ஜ்,0.0
You'd like to set up a task force?,நீங்கள் ஒரு பணிக்குழுவை அமைக்க விரும்புகிறேன்?,நீங்கள் ஒரு பணிக்குழுவை அமைக்க விரும்புகிறீர்களா?,53.7285
"And I say not unto you that with me are the treasures of Allah, nor that I know the Unseen; nor I say, I am an angel. And say not of those whom your eyes condemn that Allah shall not bestow on them good - -Allah knoweth best that which is in theeir souls. Verily in that case would be of the wrong-doers.","""அல்லாஹ்வுடைய பொக்கிஷங்கள் என்னிடம் இருக்கின்றன என்று நான் உங்களிடம் கூறவில்லை; மறைவானவற்றை நான் அறிந்தவனுமல்லன், நிச்சயமாக நான் ஒரு மலக்கு என்றும் நான் கூறவில்லை; எவர்களை உங்களுடைய கண்கள் இழிவாக நோக்குகின்றனவோ, அவர்களுக்கு அல்லாஹ் யாரொரு நன்மையும் அளிக்கமாட்டான் என்றும் நான் கூறவில்லை; அவர்களின் இதயங்களில் உள்ளதை அல்லாஹ்வே நன்கு அறிந்தவன் (இவ்வுண்மைகளுக்கு மாறாக நான் எதுவும் செய்தால்) நிச்சயமாக நானும் அநியாயக்காரர்களில் ஒருவனாகி விடுவேன்"" (என்றும் கூறினார்).","அல்லாஹ்வின் பொக்கிஷங்கள் என்னிடத்தில் உள்ளன என்று நான் உங்களுக்குச் சொல்லவில்லை. கண்ணுக்குத் தெரியாதவற்றையும் நான் அறிவேன் என்றும் நான் கூறவில்லை. மேலும், நான் ஒரு மலக்கு என்றும் நான் சொல்லவில்லை, உங்கள் கண்கள் கண்டனம் செய்பவர்களைப் பற்றி அல்லாஹ் அவர்களுக்கு நன்மை செய்ய மாட்டான் என்றும் சொல்லவில்லை-அல்லாஹ் அவர்களுடைய உள்ளங்களில் உள்ளதை நன்கு அறிந்தவன். நிச்சயமாக அக்கிரமக்காரர்களிலேயே இருப்பவன் ஆவான்.",10.0976
Bad argument,தவறான துணையலகு,தவறான வாதம்,50.0
Your emails,"sshanmu@ yahoo. com, omathiss@ hotmail. com, tvasee@ usa. net, ma_ sivakumar@ hotmail. com",உங்கள் மின்னஞ்சல்கள்,0.0
Hue,சாயல்,நிறம்.,0.0
Score:,மதிப்பெண்:,மதிப்பெண்ஃ,0.0
The height of the assistant window.,முக்கிய சாளரத்தின் உயரம்,உதவி சாளரத்தின் உயரம்.,31.9472
"""We only feed you for the sake of God and we do not want any reward or thanks from you.","""உங்களுக்கு நாங்கள் உணவளிப்பதெல்லாம், அல்லாஹ்வின் முகத்திற்காக (அவன் திருப்பொருத்தத்திற்காக); உங்களிடமிருந்து பிரதிபலனையோ (அல்லது நீங்கள்) நன்றி செலுத்த வேண்டுமென்பதையோ நாங்கள் நாடவில்லை"" (என்று அவர்கள் கூறுவர்).","""நாங்கள் கடவுளுக்காக மட்டுமே உங்களுக்கு உணவளிக்கிறோம், உங்களிடமிருந்து எந்த வெகுமதியையும் நன்றியையும் நாங்கள் விரும்பவில்லை.",1.4731
Split Mode (Auto Split),பிரிப்பு வகை (தானாக பிரித்தல்),பிளவு முறை (தானாக பிளவு),17.9652
General,பொதுவாக,ஜெனரல்,0.0
"By Allah, We indeed sent (Messengers) to the nations before you (O Muhammad SAW), but Shaitan (Satan) made their deeds fair-seeming to them. So he (Satan) is their Wali (helper) today (i.e. in this world), and theirs will be a painful torment.","அல்லாஹ்வின் மீது சத்தியமாக, உமக்கு முன்னிருந்த வகுப்பார்களுக்கும் நாம் (தூதர்களை) அனுப்பிவைத்தோம் - ஆனால் ஷைத்தான் அவர்களுக்கு அவர்களுடைய (தீய) செயல்களையே அழகாக்கி வைத்தான் - ஆகவே இன்றைய தினம் அவர்களுக்கும் அவனே உற்ற தோழனாக இருக்கின்றான் - இதனால் அவர்களுக்கு நோவினை செய்யும் வேதனையுண்டு.",அல்லாஹ்வின் மீது சத்தியமாக நாம் உமக்கு முந்தைய சமூகத்தாரிடம் (தூதர்களை) அனுப்பினோம். ஆனால் ஷைதான் அவர்களின் செயல்களை அவர்களுக்கு அழகாகக் காட்டியது. எனவே அவனே (ஷைத்தான்) இன்று (இவ்வுலகில்) அவர்களுக்கு உதவியாளனாக இருக்கிறான். அவர்களுக்கு வேதனையான வேதனை உண்டு.,7.5514
Tools,கருவிகள்,கருவிகள்,100.0
"And they used to hew out dwellings from the hills, (wherein they dwelt) secure.","அச்சமற்றுப் பாதுகாப்பாக வாழலாம் எனக்கருதி, அவர்கள் மலைகளைக் குடைந்து வீடுகளை அமைத்துக் கொண்டார்கள்.",அவர்கள் (தாங்கள் வாழ்ந்த) மலைகளிலிருந்து பாதுகாப்பாக குடியிருப்புகளை வெட்டிக்கொண்டனர்.,4.5214
"Disdaining ungratefully Our gifts, and giving themselves up to (worldly) enjoyment! But soon will they know.","அவர்கள், நாம் அவர்களுக்கு அளித்துள்ளவற்றுக்கு மாறு செய்து கொண்டு, (இவ்வுலகின் அற்ப) சுகங்களை அனுபவிக்கட்டும் - ஆனால் (தம் தீச்செயல்களின் பயனை) அறிந்து கொள்வார்கள்.","நமது அருட்கொடைகளை இழிவுபடுத்துவதும், இன்பம் அனுபவிப்பதற்கே தங்களை அர்ப்பணித்துக் கொள்வதும்! ஆனால் விரைவில் அவர்கள் அறிந்து கொள்வார்கள்.",2.0837
Decrypt file(s),விசைகள் அழிக்கப்படுகின்றன...,கோப்புகளை மறைகுறியாக்கு (கள்),0.0
Retrieving DVD keys,டிவிடிவிசைகளை மீட்டெடுக்கிறது.,டிவிடி விசைகளை மீட்டெடுக்கிறது,27.5161
Surface height,மேற்பரப்பு உயரம்,மேற்பரப்பு உயரம்,100.0
"Transcoding ""%s""",(%s) ஐ வேறு குறியாக்குகிறது,"குறியாக்கம் ""% s""",14.321
What kind of father does that make you?,நீ என்ன மாதிரியான அப்பா நீ இருப்பாய்?,அது உங்களை எந்த வகையான தந்தையாக ஆக்குகிறது?,6.5673
Text Direction,உரை திசை,உரை திசை,100.0
"excruciating, takes over an hour.",தாங்கமுடியாத ஒரு மணி நேரத்திற்கு மேல் ஆகிறது.,"வேதனையான, ஒரு மணி நேரத்திற்கு மேல் எடுக்கும்.",36.5555
File,கோப்பு,கோப்பு,100.0
- Yes.,- ஆம்.,- ஆமாம்.,34.6681
- Bharti.,பார்தி.,- பாரதி.,27.5161
Confirmation,உறுதிப்படுத்தல்,உறுதிப்படுத்தல்,100.0
list,பட்டியல்,பட்டியல்,100.0
Thiswillbe dangerclose.,இந்தdangercloseஇருக்கும்.,இது ஆபத்தை நெருங்கும்.,15.9736
Specify Location,இடத்தைக் குறிப்பிடு,இருப்பிடத்தைக் குறிப்பிடவும்,0.0
"Is He, then, who creates like him who does not create? Will you not, then, take heed?","(அனைத்தையும்) படைக்கிறானே அவன், (எதையுமே) படைக்காத (நீங்கள் வணங்குப)வை போலாவானா? நீங்கள் (இதையேனும்) சிந்திக்க வேண்டாமா?","அப்படியானால், படைக்காதவனைப் போலவே படைப்பவனும் அவன்தானா? எனவே நீங்கள் கவனித்துக் கொள்ள மாட்டீர்களா?",1.8744
Name,பெயர்,பெயர்.,50.0
No file filtered,கோப்பு ஏதும் வடிகட்டப்படவில்லை,கோப்பு வடிகட்டப்படவில்லை,42.8882
Rendering quality used when drawing the texture,அமைப்பை வரையும் போது தரத்தை வழங்கும் போது பயன்படுத்தப்பட்டது,அமைப்பை வரையும்போது பயன்படுத்தப்படும் ரெண்டரிங் தரம்,7.1605
Delete,நீக்கு,நீக்கு,100.0
..looking for signs of life.,..வாழ்க்கைஅறிகுறிகள்தேடும்.,.. வாழ்க்கையின் அறிகுறிகளைத் தேடுகிறது.,17.9652
- Morel wants some more whisky. - All right.,- Morel இன்னும் சில விஸ்கி விரும்புகிறது.,- மோரெல் இன்னும் சில விஸ்கி வேண்டும்.-சரி.,20.1649
"Tower, we're going offline soon, but drones are already mobile and executing.","டவர்,நாம்விரைவில்தான்போகிறோம் , ஆனால்ட்ரான்ஸ்ஏற்கனவே மொபைல் மற்றும் நிறைவேற்றி உள்ளன","டவர், நாங்கள் விரைவில் ஆஃப்லைனில் போகிறோம், ஆனால் ட்ரோன்கள் ஏற்கனவே மொபைல் மற்றும் செயல்படுத்தப்படுகின்றன.",6.7543
Your names,EMAIL OF TRANSLATORS,உங்கள் பெயர்கள்.,0.0
File %1 does not exist,்பு% 1 எனும் கோப்பு இல்லை.,கோப்பு% 1 இல்லை,17.946
Argentina,ஆர்சென்டினாName,அர்ஜென்டினா,0.0
- and a cup of coffee.,- மற்றும் ஒரு கப் காபி.,- மற்றும் ஒரு கப் காபி.,100.0
Close,அனைத்தையும் மூடு,மூடு,36.7879
Yes.,ஆமாம்.,ஆம்.,50.0
Copying audio track,ஒலி தடத்தை நகலெடுக்கிறது,ஆடியோ டிராக்கை நகலெடுக்கிறது,27.5161
We got to let loose.,நாங்கள்அனுமதிக்கவேண்டும்தளர்வான,நாம் விடுவிக்கப்பட வேண்டும்.,0.0
"All right, look, we're not going to let a couple of seagulls ruin our moment.",சரி இந்த கடல்பறவைங்க நம்மோட இந்த நேரத்த வீணாக்கவிட வேண்டாம்.,"சரி, பாருங்கள், ஒரு ஜோடி கடற்பறவைகள் நம் தருணத்தை அழிக்க விடமாட்டோம்.",4.0272
Why?,ஏன்?,ஏன்?,100.0
About,அறிக்கை,பற்றி,0.0
Prince Edward Island,"பிரின்ஸ் எட்வர்ட் தீவுCity name (optional, probably does not need a translation)",இளவரசர் எட்வர்ட் தீவு,0.7034
Your emails,jvijay_ loyola@ hotmail. com,உங்கள் மின்னஞ்சல்கள்,0.0
Rooftops,மேற்கூறைகள்,கூரைகள்,0.0
Crimean Tatar,கிரீமியன் டாடர்Name,கிரிமியன் டாடர்,0.0
Si Sa Ket,thailand. kgm,என்றால் அது சாத்தியமற்றது.,15.9736
‹ (#8249;) Single Left-Pointing Angle Quotation mark,‹ (# 8249;) ஒற்றை இடது- குறிக்கும் திசை மேற்கோள் குறி,′ (#8249;) ஒற்றை இடது-புள்ளி கோண மேற்கோள் குறி,47.418
File Downloader,கோப்பு தரவிறக்கி,கோப்பு பதிவிறக்குபவர்,50.0
Delete,சட்டத்தினை காட்டு,நீக்கு,0.0
(SOLDIERS SHOUTING IN KOREAN),(சிப்பாய்கள்கொரியமொழியில்கத்தி),(கொரியாவில் துப்பாக்கிச் சூடு நடத்தும் வீரர்கள்),7.8098
He just wandered in off the street. This is a fucking showroom!,- அவன் தெருவுல சுத்திட்டிருக்கான்.,அவர் தெருவில் அலைந்து திரிந்தார். இது ஒரு ஷோரூம்!,4.7677
BAILER,Constellation name (optional),பெய்லர்,0.0
I've read quite a bit myself.,நான் மிகவும் ஒரு பிட் நானே வாசிக்க.,நானே ஓரளவு படித்துள்ளேன்.,8.973
Destroyed,அழிக்கப்பட்டது,அழிந்தது.,0.0
"""%s"" cannot be unlocked","""%s"" ஐ பூட்டு திறக்க முடியாது","""% s"" திறக்கப்படவில்லை",36.7012
Disable batching of geometry in the Cogl Journal.,Cogl இதழில் வடிவங்களைத் தொகுப்பாக்கம் செய்தலை முடக்கு.,கோக்ள் ஜர்னலில் வடிவவியலின் தொகுப்பை முடக்கு.,13.7413
Mapped,வரைபடமாக்கப்பட்டது,வரைபடம்,0.0
Yeah. I straight hustle.,"ஆமாம், நான் நேராக தள்ளு",ஆமாம். நான் நேராக சத்தம் போடுகிறேன்.,14.5358
Stop,& நிறுத்து,நிறுத்துங்கள்.,0.0
"They measure not Allah His rightful measure. Lo! Allah is Strong, Almighty.",அவர்கள் அல்லாஹ்வைக் கண்ணியப்படுத்த வேண்டியாவாறு கண்ணயப்படுத்தவில்லை நிச்சயமாக அல்லாஹ் வல்லமை மிக்கவன்; (யாவரையும்) மிகைத்தவன்.,அல்லாஹ்வின் நியாயமான அளவை அவர்கள் அளவிடுவதில்லை. நிச்சயமாக அல்லாஹ் வலிமை மிக்கவன். மிகைத்தவன்.,8.2905
Your names,தங்கம் அருண்EMAIL OF TRANSLATORS,உங்கள் பெயர்கள்.,0.0
Eagle Wing,கழுகு இறக்கை,கழுகு விங்,50.0
Today only,இன்றே துவங்குக,இன்று மட்டும்,0.0
Pyeongyang,பென்சின்வேனியாworld. kgm,பியோங்யாங்,0.0
"Those who have said that the Messiah, son of Mary, is God, have, in fact, committed themselves to disbelief. (Muhammad), ask them, ""Who can prevent God from destroying the Messiah, his mother and all that is in the earth?"" To God belongs all that is in the heavens, the earth, and all that is between them. God creates whatever He wants and He has power over all things.","திடமாக எவர் மர்யமுடைய குமாரர் மஸீஹ் (ஈஸா) தான் அல்லாஹ் என்று கூறுகிறாரோ, அத்ததையோர் நிச்சயமாக நிராகரிப்போர் ஆகிவிட்டனர். ""மர்யமுடைய குமாரர் மஸீஹையும் அவருமடைய தாயாரையும் இன்னும் பூமியிலுள்ள அனைவரையும் அல்லாஹ் அழித்துவிட நாடினால், (அதிலிருந்து அவர்களைக் காக்க) எவர் சிறிதளவேனும் சக்தியோ அதிகாரமோ பெற்றிருக்கிறார்"" என்று (நபியே!) நீர் கேளும்;. வானங்களிலும், பூமியிலும், அவற்றிற்கு இடையேயும் உள்ள (பொருட்கள் அனைத்)தின் மீதுமுள்ள ஆட்சி அல்லாஹ்வுக்கே சொந்தம்;. அவன் நாடியதைப் படைக்கிறான்;. இன்னும் அல்லாஹ் எல்லாவற்றின் மீதும் ஆற்றலுடையவனாக இருக்கின்றான்.","மர்யமின் மகனாகிய மஸீயாவையே அல்லாஹ் என்று கூறுபவர்கள், உண்மையில் நிராகரிப்பவர்களாக ஆகிவிட்டனர். (முஹம்மது) அவர்களிடம், ""மேசியாவையும், அவரது தாயையும், பூமியிலுள்ள அனைத்தையும் அழிக்க அல்லாஹ்வை யார் தடுக்க முடியும்?"" என்று கேளுங்கள். வானங்களிலும், பூமியிலும், அவற்றுக்கிடையே உள்ளவற்றிலும் உள்ள அனைத்தும் அல்லாஹ்வுக்கே உரியன. அல்லாஹ் தான் விரும்புவதைப் படைக்கிறான். மேலும், அவன் அனைத்துப் பொருட்களின் மீதும் பேராற்றலுடையவன்.",6.9099
& Delete,உரையை அழி,& நீக்கு,0.0
Move ~a onto the six of spades.,ஸ்பேடின் ஆறு மீது ~a ஐ நகர்த்து,ஆறு ஈட்டிகள் மீது ~ a ஐ நகர்த்தவும்.,36.5555
and who preserve their trusts and their covenant,"இன்னும், அவர்கள் தங்கள் (இடம் ஒப்படைக்கப்பட்ட) அமானிப் பொருட்களையும், தங்கள் வாக்குறுதிகளையும் காப்பாற்றுவார்கள்.",தங்கள் அறக்கட்டளைகளையும் தங்கள் உடன்படிக்கையையும் பாதுகாப்பவர்கள்.,2.3835
"He said: So it shall surely be forbidden to them for forty years, they shall wander about in the land, therefore do not grieve for the nation of transgressors.","(அதற்கு அல்லாஹ்) ""அவ்வாறாயின் அது நாற்பது ஆண்டுகள் வரை அவர்களுக்கு நிச்சயமாகத் தடுக்கப்பட்டு விட்டது. (அது வரை) அவர்கள் பூமியில் தட்டழி(ந்து கெட்டலை)வார்கள்;. ஆகவே நீர் இத்தீய கூட்டத்தாரைப் பற்றிக் கவலை கொள்ள வேண்டாம்"" என்று கூறினான்.","""அவர் கூறினார்ஃ"" ""எனவே இது நாற்பது ஆண்டுகளுக்கு அவர்களுக்குத் தடைசெய்யப்பட்டிருக்கும், அவர்கள் பூமியில் அலைந்து திரிவார்கள், எனவே வரம்பு மீறியவர்களின் தேசத்திற்காக வருத்தப்பட வேண்டாம்"".",2.5837
The height of the pixmap bound to this texture,இந்த அமைப்பிற்கு பிணைக்கப்படும் பிக்ஸ்மேப்பின் உயரம்,இந்த அமைப்புடன் பிணைக்கப்பட்டுள்ள பிக்ஸ்மேப்பின் உயரம்,23.6435
So it's a year and a half earlier.,எனவே... ... அது ஒரு ஆண்டு மற்றும் ஒரு அரை முன்பு.,எனவே இது ஒன்றரை வருடத்திற்கு முந்தையது.,2.1537
Allocate extra space for the child in horizontal axis,கிடைமட்ட அச்சில் சேய்கான கூடுதல் இடத்தை ஒதுக்கவும்,கிடைமட்ட அச்சில் குழந்தைக்கு கூடுதல் இடத்தை ஒதுக்குங்கள்,22.9575
Debugger Frontend,டிபக்கர் பிரான்டட்Comment,பிழைத்திருத்த முனையம்,0.0
You cannot get married until then.,நீங்கள் அதுவரை திருமணம் செய்துகொள்ள முடியாது.,அதுவரை நீங்கள் திருமணம் செய்து கொள்ள முடியாது.,16.5158
The color of the stage,நிலையின் வண்ணம்,மேடையின் நிறம்,0.0
"No, I apologize. Yeah.","இல்லை, நான் மன்னிப்பு கேட்டுக்கொள்கிறேன்.","இல்லை, நான் மன்னிப்பு கேட்கிறேன். ஆம்.",36.5555
Close this window,இந்த சாளரத்தை மூடு,இந்த சாளரத்தை மூடு,100.0
"Not frivolity will they hear therein, nor any taint of ill,-","அங்கு இவர்கள் வீணானதையும், பாவமுண்டாக்குவதையும் (கொண்ட பேச்சுகளைச்) செவியுற மாட்டார்கள்.","அதில் அவர்கள் அற்பத்தனத்தையோ, தீமை பற்றிய எந்தக் களங்கத்தையோ கேட்க மாட்டார்கள்.",7.5743
S.R.I. made inquiries... but the Kenyans weren't all that much help.,"ஆனால் நிரூபர்களிடம் இல்லை அனைத்து அந்த உதவ,",எஸ். ஆர். ஐ விசாரணைகளை மேற்கொண்டார்... ஆனால் கென்யர்கள் அவ்வளவு உதவியாக இருக்கவில்லை.,2.4456
Whether pressing return causes the activate signal to be emitted,திரும்பவும் அழுத்துவதால் ஒதுக்கப்பட்ட சிக்னல் மீண்டும் செயல்படுத்துகிறது,திரும்ப அழுத்துவது ஆக்டிவேட் சமிக்ஞையை வெளியிடுமா என்பதை ஏற்படுத்துகிறதா,0.0
Thus does God seal the hearts of those who do not know.,"அவ்வாறே, இந்த அறிவில்லாதவர்களின் இருதயங்களின் மீது அல்லாஹ் முத்திரையிடுகிறான்.",இவ்விதமாக அல்லாஹ் அறியாதவர்களின் இதயங்களை மூடுகிறான்.,5.8545
We are not skint.,- நாங்க இல்லாதவங்க இல்ல,நாம் சோம்பேறித்தனமானவர்கள் அல்ல.,0.0
Disable use of the fixed function pipeline backend,நிலையான செயல்தொகுதி பைப்லைன் பின்புல முறைமையைப் பயன்படுத்துவதை முடக்கு,நிலையான செயல்பாட்டு குழாய் பின்பக்கத்தின் பயன்பாட்டை முடக்கு,8.1706
Contrast,வேறுபாடு,முரண்பாடு,0.0
Sweeper,ஸ்வீப்பர்GenericName,துப்புரவாளன்,0.0
We're just driving around.,நாங்கள்இருக்கிறோம்சுற்றிஓட்டுநர்,நாங்கள் வெறுமனே சுற்றிச் செல்கிறோம்.,0.0
metadataeditor,தரவு தொகுப்பான்Name,மெட்டாடேட்டா எடிட்டர்,0.0
"We would have been the chosen servants of Allah.""","""அல்லாஹ்வுடைய தூய அடியார்களாக நாங்கள் நிச்சயமாக ஆகியிருப்போம்"" என்று.","நாம் அல்லாஹ்வின் தேர்ந்தெடுக்கப்பட்ட அடியார்களாக இருந்திருப்போம் ""என்று கூறினார்கள்.",10.1471
The rotation angle on the Y axis,Y அச்சின் சுழற்சி கோணம்,Y அச்சில் சுழற்சி கோணம்,35.3553
Burn _Several Copies,_S பல நகல்கள் எழுதுதல்,_ பல நகல்களை எரிக்கவும்,14.794
Grid,நீலம்,கட்டம்,0.0
